1,21101,Materiales y útiles de oficina,,27/04/2023,1,,"INSERT INTO tm_partida(par_id, par_desc, par_num, par_fec, par_est)",,"VALUES(1,'21101','Materiales y útiles de oficina','45043,1",,
2,21301,Material estadístico y geográfico,,27/04/2023,1,,,,,,
3,21601,Material de limpieza,,27/04/2023,1,,,,,,
4,24601,Material eléctrico y electrónico,,27/04/2023,1,,,,,11/12/2022,
5,24801,Materiales complementarios,,27/04/2023,1,,,,,,
6,24901,Otros materiales y artículos de construcción y reparación,,27/04/2023,1,,,,,,
7,25201,"Fertilizantes, pesticidas y otros agroquímicos",,27/04/2023,1,,,,,,
8,25401,"Materiales, accesorios y suministros médicos",,27/04/2023,1,,,,,,
9,26103,"Combustibles, lubricantes y aditivos para vehículos terrestres",,27/04/2023,1,,,,,,
10,27201,Prendas de protección personal,,27/04/2023,1,,,,,,
11,29101,Herramientas menores,,27/04/2023,1,,,,,,
12,29201,Refacciones y accesorios menores de edificios,,27/04/2023,1,,,,,,
13,29801,Refacciones y accesorios menores de maquinaria y otros equipos,,27/04/2023,1,,,,,,
14,31101,Servicio de energía eléctrica,,27/04/2023,1,,,,,,
15,31301,Servicio de agua,,27/04/2023,1,,,,,,
16,31801,Servicio postal,,27/04/2023,1,,,,,,
17,31902,Contratación de otros servicios,,27/04/2023,1,,,,,,
18,32201,Arrendamiento de edificios y locales,,27/04/2023,1,,,,,,
19,32302,Arrendamiento de mobiliario,,27/04/2023,1,,,,,,
20,32503,Arrendamiento de vehículos terrestres,,27/04/2023,1,,,,,,
21,33605,Información en medios masivos derivada de la operación y administración de las dependencias y entidades,,27/04/2023,1,,,,,,
22,33801,Servicios de vigilancia,,27/04/2023,1,,,,,,
23,33901,Subcontratación de servicios con terceros,,27/04/2023,1,,,,,,
24,33903,Servicios integrales,,27/04/2023,1,,,,,,
25,34101,Servicios bancarios y financieros,,27/04/2023,1,,,,,,
26,34501,Seguros de bienes patrimoniales,,27/04/2023,1,,,,,,
27,34701,Fletes y maniobras,,27/04/2023,1,,,,,,
28,35101,Mantenimiento y conservación de inmuebles para la prestación de servicios administrativos,,27/04/2023,1,,,,,,
29,35102,Mantenimiento y conservación de inmuebles para la prestación de servicios públicos,,27/04/2023,1,,,,,,
30,35201,Mantenimiento y conservación de mobiliario y equipo de administración,,27/04/2023,1,,,,,,
31,35501,"Mantenimiento y conservación de vehículos terrestres, aéreos, marítimos, lacustres y fluviales",,27/04/2023,1,,,,,,
32,35701,Mantenimiento y conservación de maquinaria y equipo,,27/04/2023,1,,,,,,
33,35801,"Servicios de lavandería, limpieza e higiene",,27/04/2023,1,,,,,,
34,35901,Servicios de jardinería y fumigación,,27/04/2023,1,,,,,,
35,37104,Pasajes aéreos nacionales para servidores públicos de mando en el desempeño de comisiones y funciones oficiales,,27/04/2023,1,,,,,,
36,37201,Pasajes terrestres nacionales para labores en campo y de supervisión,,27/04/2023,1,,,,,,
37,37504,Viáticos nacionales para servidores públicos en el desempeño de funciones oficiales,,27/04/2023,1,,,,,,
38,39202,Otros impuestos y derechos,,27/04/2023,1,,,,,,
39,51101,Mobiliario,,27/04/2023,1,,,,,,
40,51301,Bienes artísticos y culturales,,27/04/2023,1,,,,,,
41,51501,Bienes informáticos,,27/04/2023,1,,,,,,
42,51901,Equipo de administración,,27/04/2023,1,,,,,,
43,52101,Equipos y aparatos audiovisuales,,27/04/2023,1,,,,,,
44,52301,Cámaras fotográficas y de video,,27/04/2023,1,,,,,,
45,52901,Otro mobiliario y equipo educacional y recreativo,,27/04/2023,1,,,,,,
46,53101,Equipo médico y de laboratorio,,27/04/2023,1,,,,,,
47,56201,Maquinaria y equipo industrial,,27/04/2023,1,,,,,,
48,56501,Equipos y aparatos de comunicaciones y telecomunicaciones,,27/04/2023,1,,,,,,
49,56601,Maquinaria y equipo eléctrico y electrónico,,27/04/2023,1,,,,,,
50,56701,Herramientas y máquinas herramienta,,27/04/2023,1,,,,,,
51,56902,Otros bienes muebles,,27/04/2023,1,,,,,,
52,62202,Mantenimiento y rehabilitación de edificaciones no habitacionales,,27/04/2023,1,,,,,,
53,62903,Servicios de supervisión de obras,,27/04/2023,1,,,,,,
